"Variable.Name","Variable.Description","Data.File.Name","Data.File.Description","Begin.Year","EndYear","Component","Use.Constraints"
"SEQN","Respondent sequence number.","TBX_G","Tuberculosis",2011,2012,"Examination","None"
"OHDEXCLU","Excluded from perio exam for med reasons","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHDEXSTS","Overall Oral Health Exam Status","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHDPDSTS","Periodontal Status Code","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02CJA","Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02CJD","Loss of Attachment: Upper right 2nd molar (2M) distal - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02CJL","Loss of Attachment: Upper right 2nd molar (2M) mid - lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02CJM","Loss of Attachment:  Upper right 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02CJP","Loss of Attachment: Upper right 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02CJS","Loss of Attachment:  Upper right 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02LAA","Loss of Attachment:  Upper right 2nd molar (2M) mesio- lingual - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02LAD","Loss of Attachment:  Upper right 2nd molar (2M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02LAL","Loss of Attachment:  Upper right 2nd molar (2M) mid- lingual - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02LAM","Loss of Attachment:  Upper right 2nd molar (2M) mid-facial - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02LAP","Loss of Attachment:  Upper right 2nd molar (2M) distal lingual - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02LAS","Loss of Attachment:  Upper right 2nd molar (2M) mesio-facial - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02PCA","Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02PCD","Loss of Attachment: Upper right 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02PCL","Loss of Attachment: Upper right 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02PCM","Loss of Attachment:  Upper right 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02PCP","Loss of Attachment: Upper right 2nd molar (2M) distal - lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX02PCS","Loss of Attachment:  Upper right 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03CJA","Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03CJD","Loss of Attachment: Upper right 1st molar (1M) distal - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03CJL","Loss of Attachment: Upper right 1st molar (1M) mid - lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03CJM","Loss of Attachment:  Upper right 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03CJP","Loss of Attachment: Upper right 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03CJS","Loss of Attachment:  Upper right 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03LAA","Loss of Attachment:  Upper right 1st molar (1M) mesio- lingual - Calculation of :   (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
