"scenario","eta_x","eta_y","rho_xy","rho_uv","M","direction","n_chunks","n_clusters","B","m_sub","z_stouffer","p_stouffer"
1,0,0,0,0,20,"Z_equals_X",40,200000,20000,20,-0.990252950897289,0.838974751507337
1,0,0,0,0,20,"Z_equals_Y",40,200000,20000,20,-1.4788875732151,0.930414817431345
2,4,0,0,0,20,"Z_equals_X",40,196867,19706,20,0.39620960163478,0.3459752043124
2,4,0,0,0,20,"Z_equals_Y",40,196867,19706,20,1.11812925536774,0.131755896642294
3,0,4,0,0,20,"Z_equals_X",40,197006,19718,20,1.30720193886253,0.0955720686148931
3,0,4,0,0,20,"Z_equals_Y",40,197006,19718,20,1.17402233389256,0.120193040007992
4,4,4,0,0,20,"Z_equals_X",40,193540,19371,20,5.06181472016954,2.07642253946538e-07
4,4,4,0,0,20,"Z_equals_Y",40,193540,19371,20,6.66570304808443,1.31700206296159e-11
5,0,0,0.5,0,20,"Z_equals_X",40,200000,20000,20,680.234151842841,0
5,0,0,0.5,0,20,"Z_equals_Y",40,200000,20000,20,681.200475274739,0
6,4,0,0.5,0,20,"Z_equals_X",40,197004,19716,20,647.777136771618,0
6,4,0,0.5,0,20,"Z_equals_Y",40,197004,19716,20,563.859709575012,0
7,0,4,0.5,0,20,"Z_equals_X",40,196952,19712,20,562.677380114918,0
7,0,4,0.5,0,20,"Z_equals_Y",40,196952,19712,20,645.27727366512,0
8,4,4,0.5,0,20,"Z_equals_X",40,193858,19403,20,553.770852735941,0
8,4,4,0.5,0,20,"Z_equals_Y",40,193858,19403,20,556.814338374194,0
9,0,0,0,0.5,20,"Z_equals_X",40,200000,20000,20,0.378117933256667,0.352671493387282
9,0,0,0,0.5,20,"Z_equals_Y",40,200000,20000,20,0.314634318120426,0.376519659730121
10,4,0,0,0.5,20,"Z_equals_X",40,197040,19722,20,-0.370642317587769,0.644548020689111
10,4,0,0,0.5,20,"Z_equals_Y",40,197040,19722,20,1.71816608764477,0.0428831626078803
11,0,4,0,0.5,20,"Z_equals_X",40,196956,19713,20,2.34297176007191,0.0095654155268986
11,0,4,0,0.5,20,"Z_equals_Y",40,196956,19713,20,1.16210410153007,0.122596590803047
12,4,4,0,0.5,20,"Z_equals_X",40,192712,19289,20,3.23196734488495,0.000614705523378167
12,4,4,0,0.5,20,"Z_equals_Y",40,192712,19289,20,3.49647589509912,0.000235723542907795
13,0,0,0.5,0.5,20,"Z_equals_X",40,200000,20000,20,660.11519049109,0
13,0,0,0.5,0.5,20,"Z_equals_Y",40,200000,20000,20,658.704581675183,0
14,4,0,0.5,0.5,20,"Z_equals_X",40,196906,19706,20,634.085480165845,0
14,4,0,0.5,0.5,20,"Z_equals_Y",40,196906,19706,20,572.924367977888,0
15,0,4,0.5,0.5,20,"Z_equals_X",40,196928,19712,20,573.311812824515,0
15,0,4,0.5,0.5,20,"Z_equals_Y",40,196928,19712,20,637.259980437103,0
16,4,4,0.5,0.5,20,"Z_equals_X",40,193827,19402,20,567.229402860653,0
16,4,4,0.5,0.5,20,"Z_equals_Y",40,193827,19402,20,567.155667083828,0
