"comparison","Y","Z","z_stouffer","p_stouffer"
"Y_DS__Z_maxCAL","DS","maxCAL",-9.51686921405584,1
"Y_FS__Z_maxCAL","FS","maxCAL",50.3315258468002,0
"Y_DSI__Z_maxCAL","DSI","maxCAL",-23.4122466896847,1
"Y_FSI__Z_maxCAL","FSI","maxCAL",19.6004031846779,0
"Y_DS__Z_maxPD","DS","maxPD",-3.82461397727254,0.99993451142846
"Y_FS__Z_maxPD","FS","maxPD",59.4879271124086,0
"Y_DSI__Z_maxPD","DSI","maxPD",-18.7606108059934,1
"Y_FSI__Z_maxPD","FSI","maxPD",34.0616088553539,0
"Y_maxCAL__Z_DS","maxCAL","DS",8.17474638366531,1.11022302462516e-16
"Y_maxPD__Z_DS","maxPD","DS",4.58563053248824,2.26309193340768e-06
"Y_maxCAL__Z_FS","maxCAL","FS",112.219346061568,0
"Y_maxPD__Z_FS","maxPD","FS",125.58401723031,0
"Y_maxCAL__Z_DSI","maxCAL","DSI",-0.686899514320137,0.753926973487073
"Y_maxPD__Z_DSI","maxPD","DSI",-2.35389367867359,0.990711037996986
"Y_maxCAL__Z_FSI","maxCAL","FSI",59.1632575708515,0
"Y_maxPD__Z_FSI","maxPD","FSI",73.8942905205764,0
