"Y","L","X","K","weight_type","association_type","estimate","variance","se","lower_95","upper_95","Age"
"maxCAL","Cal>=3","DS_score","DS","no_weight","pearson",0.121517413977979,0.000110943954791831,0.0105329936291555,0.100873125815444,0.142161702140514,"30-49"
"maxCAL","Cal>=3","FS_score","FS","no_weight","pearson",0.0681054238288348,4.36292612123099e-05,0.00660524497746374,0.0551593815639418,0.0810514660937278,"30-49"
"maxCAL","Cal>=3","DSI_score","DSI","no_weight","pearson",0.0821632996757388,0.000107808476008393,0.0103830860541745,0.0618128249611767,0.102513774390301,"30-49"
"maxCAL","Cal>=3","FSI_score","FSI","no_weight","pearson",0.0325333012241905,3.47986246639122e-05,0.00589903590969849,0.020971403297673,0.044095199150708,"30-49"
"maxCAL","Cal>=4","DS_score","DS","no_weight","pearson",0.121517413977979,0.000110943954791831,0.0105329936291555,0.100873125815444,0.142161702140514,"30-49"
"maxCAL","Cal>=4","FS_score","FS","no_weight","pearson",0.0681054238288348,4.36292612123099e-05,0.00660524497746374,0.0551593815639418,0.0810514660937278,"30-49"
"maxCAL","Cal>=4","DSI_score","DSI","no_weight","pearson",0.0821632996757388,0.000107808476008393,0.0103830860541745,0.0618128249611767,0.102513774390301,"30-49"
"maxCAL","Cal>=4","FSI_score","FSI","no_weight","pearson",0.0325333012241905,3.47986246639122e-05,0.00589903590969849,0.020971403297673,0.044095199150708,"30-49"
"maxCAL","Cal>=5","DS_score","DS","no_weight","pearson",0.121517413977979,0.000110943954791831,0.0105329936291555,0.100873125815444,0.142161702140514,"30-49"
"maxCAL","Cal>=5","FS_score","FS","no_weight","pearson",0.0681054238288348,4.36292612123099e-05,0.00660524497746374,0.0551593815639418,0.0810514660937278,"30-49"
"maxCAL","Cal>=5","DSI_score","DSI","no_weight","pearson",0.0821632996757388,0.000107808476008393,0.0103830860541745,0.0618128249611767,0.102513774390301,"30-49"
"maxCAL","Cal>=5","FSI_score","FSI","no_weight","pearson",0.0325333012241905,3.47986246639122e-05,0.00589903590969849,0.020971403297673,0.044095199150708,"30-49"
"maxPD","Pd>=4","DS_score","DS","no_weight","pearson",0.109874163099351,6.42159454657382e-05,0.00801348522590129,0.094168020665941,0.125580305532762,"30-49"
"maxPD","Pd>=4","FS_score","FS","no_weight","pearson",0.0871193533266037,4.54153036553779e-05,0.00673908774652607,0.0739109840547574,0.10032772259845,"30-49"
"maxPD","Pd>=4","DSI_score","DSI","no_weight","pearson",0.0656209561603222,6.08190299396937e-05,0.00779865564951381,0.0503358719594454,0.0809060403611991,"30-49"
"maxPD","Pd>=4","FSI_score","FSI","no_weight","pearson",0.0431729512286573,3.70332803927349e-05,0.00608549754685144,0.0312455952088216,0.055100307248493,"30-49"
"maxPD","Pd>=5","DS_score","DS","no_weight","pearson",0.109874163099351,6.42159454657382e-05,0.00801348522590129,0.094168020665941,0.125580305532762,"30-49"
"maxPD","Pd>=5","FS_score","FS","no_weight","pearson",0.0871193533266037,4.54153036553779e-05,0.00673908774652607,0.0739109840547574,0.10032772259845,"30-49"
"maxPD","Pd>=5","DSI_score","DSI","no_weight","pearson",0.0656209561603222,6.08190299396937e-05,0.00779865564951381,0.0503358719594454,0.0809060403611991,"30-49"
"maxPD","Pd>=5","FSI_score","FSI","no_weight","pearson",0.0431729512286573,3.70332803927349e-05,0.00608549754685144,0.0312455952088216,0.055100307248493,"30-49"
"maxPD","Pd>=6","DS_score","DS","no_weight","pearson",0.109874163099351,6.42159454657382e-05,0.00801348522590129,0.094168020665941,0.125580305532762,"30-49"
"maxPD","Pd>=6","FS_score","FS","no_weight","pearson",0.0871193533266037,4.54153036553779e-05,0.00673908774652607,0.0739109840547574,0.10032772259845,"30-49"
"maxPD","Pd>=6","DSI_score","DSI","no_weight","pearson",0.0656209561603222,6.08190299396937e-05,0.00779865564951381,0.0503358719594454,0.0809060403611991,"30-49"
"maxPD","Pd>=6","FSI_score","FSI","no_weight","pearson",0.0431729512286573,3.70332803927349e-05,0.00608549754685144,0.0312455952088216,0.055100307248493,"30-49"
"maxCAL","Cal>=3","DS_score","DS","CW","pearson",0.125343217157782,0.000141948930999504,0.0119142322874579,0.10199175097092,0.148694683344644,"30-49"
"maxCAL","Cal>=3","FS_score","FS","CW","pearson",0.0636851518693961,5.07944720316549e-05,0.00712702406560094,0.049716441383868,0.0776538623549241,"30-49"
"maxCAL","Cal>=3","DSI_score","DSI","CW","pearson",0.0902393326772691,0.000138512274573986,0.0117691237810631,0.0671722739367915,0.113306391417747,"30-49"
"maxCAL","Cal>=3","FSI_score","FSI","CW","pearson",0.0311304330479081,4.19960310237106e-05,0.00648043447800459,0.0184290148668475,0.0438318512289687,"30-49"
"maxCAL","Cal>=4","DS_score","DS","CW","pearson",0.125343217157782,0.000141948930999504,0.0119142322874579,0.10199175097092,0.148694683344644,"30-49"
"maxCAL","Cal>=4","FS_score","FS","CW","pearson",0.0636851518693961,5.07944720316549e-05,0.00712702406560094,0.049716441383868,0.0776538623549241,"30-49"
"maxCAL","Cal>=4","DSI_score","DSI","CW","pearson",0.0902393326772691,0.000138512274573986,0.0117691237810631,0.0671722739367915,0.113306391417747,"30-49"
"maxCAL","Cal>=4","FSI_score","FSI","CW","pearson",0.0311304330479081,4.19960310237106e-05,0.00648043447800459,0.0184290148668475,0.0438318512289687,"30-49"
"maxCAL","Cal>=5","DS_score","DS","CW","pearson",0.125343217157782,0.000141948930999504,0.0119142322874579,0.10199175097092,0.148694683344644,"30-49"
"maxCAL","Cal>=5","FS_score","FS","CW","pearson",0.0636851518693961,5.07944720316549e-05,0.00712702406560094,0.049716441383868,0.0776538623549241,"30-49"
"maxCAL","Cal>=5","DSI_score","DSI","CW","pearson",0.0902393326772691,0.000138512274573986,0.0117691237810631,0.0671722739367915,0.113306391417747,"30-49"
"maxCAL","Cal>=5","FSI_score","FSI","CW","pearson",0.0311304330479081,4.19960310237106e-05,0.00648043447800459,0.0184290148668475,0.0438318512289687,"30-49"
"maxPD","Pd>=4","DS_score","DS","CW","pearson",0.111740530996249,8.16717614651433e-05,0.0090372430234637,0.0940278601507238,0.129453201841773,"30-49"
"maxPD","Pd>=4","FS_score","FS","CW","pearson",0.0853859725556556,4.98738178471406e-05,0.00706213974990162,0.0715444329920597,0.0992275121192515,"30-49"
"maxPD","Pd>=4","DSI_score","DSI","CW","pearson",0.0706716537042525,7.71028902000154e-05,0.00878082514345978,0.0534615526685276,0.0878817547399775,"30-49"
"maxPD","Pd>=4","FSI_score","FSI","CW","pearson",0.0440212546013446,4.24269144658393e-05,0.00651359458869212,0.031254843797613,0.0567876654050761,"30-49"
"maxPD","Pd>=5","DS_score","DS","CW","pearson",0.111740530996249,8.16717614651433e-05,0.0090372430234637,0.0940278601507238,0.129453201841773,"30-49"
"maxPD","Pd>=5","FS_score","FS","CW","pearson",0.0853859725556556,4.98738178471406e-05,0.00706213974990162,0.0715444329920597,0.0992275121192515,"30-49"
"maxPD","Pd>=5","DSI_score","DSI","CW","pearson",0.0706716537042525,7.71028902000154e-05,0.00878082514345978,0.0534615526685276,0.0878817547399775,"30-49"
"maxPD","Pd>=5","FSI_score","FSI","CW","pearson",0.0440212546013446,4.24269144658393e-05,0.00651359458869212,0.031254843797613,0.0567876654050761,"30-49"
"maxPD","Pd>=6","DS_score","DS","CW","pearson",0.111740530996249,8.16717614651433e-05,0.0090372430234637,0.0940278601507238,0.129453201841773,"30-49"
"maxPD","Pd>=6","FS_score","FS","CW","pearson",0.0853859725556556,4.98738178471406e-05,0.00706213974990162,0.0715444329920597,0.0992275121192515,"30-49"
"maxPD","Pd>=6","DSI_score","DSI","CW","pearson",0.0706716537042525,7.71028902000154e-05,0.00878082514345978,0.0534615526685276,0.0878817547399775,"30-49"
"maxPD","Pd>=6","FSI_score","FSI","CW","pearson",0.0440212546013446,4.24269144658393e-05,0.00651359458869212,0.031254843797613,0.0567876654050761,"30-49"
"maxCAL","Cal>=3","DS_score","DS","PPW","pearson",0.0985440377348185,0.000107401078233351,0.0103634491475257,0.0782320506500558,0.118856024819581,"30-49"
"maxCAL","Cal>=3","FS_score","FS","PPW","pearson",0.0588029044547855,3.04018691439831e-05,0.00551378900067668,0.0479960765951061,0.0696097323144649,"30-49"
"maxCAL","Cal>=3","DSI_score","DSI","PPW","pearson",0.0755855816177588,0.000144909714921093,0.0120378451111938,0.0519918387483474,0.0991793244871702,"30-49"
"maxCAL","Cal>=3","FSI_score","FSI","PPW","pearson",0.0276860810881023,4.22208883642695e-05,0.00649776025752486,0.0149507050031778,0.0404214571730267,"30-49"
"maxCAL","Cal>=4","DS_score","DS","PPW","pearson",0.0632035654262003,0.000101572545766832,0.0100783205826582,0.0434504200595416,0.0829567107928591,"30-49"
"maxCAL","Cal>=4","FS_score","FS","PPW","pearson",0.0475324013579173,4.83234309602023e-05,0.00695150566138029,0.0339077006232856,0.061157102092549,"30-49"
"maxCAL","Cal>=4","DSI_score","DSI","PPW","pearson",0.02980008314119,0.000141752496444964,0.011905985740163,0.00646477989002313,0.0531353863923569,"30-49"
"maxCAL","Cal>=4","FSI_score","FSI","PPW","pearson",-0.0165368650101903,6.26033777851987e-05,0.00791222963425599,-0.0320445501307426,-0.00102917988963808,"30-49"
"maxCAL","Cal>=5","DS_score","DS","PPW","pearson",0.0629133163776179,0.000118771725867588,0.0108982441644325,0.0415531503206064,0.0842734824346295,"30-49"
"maxCAL","Cal>=5","FS_score","FS","PPW","pearson",0.0268716095550742,6.7885185996026e-05,0.00823924668862548,0.0107229827856274,0.0430202363245211,"30-49"
"maxCAL","Cal>=5","DSI_score","DSI","PPW","pearson",0.0211250831140388,0.000152981442017048,0.012368566692105,-0.00311686214286859,0.0453670283709463,"30-49"
"maxCAL","Cal>=5","FSI_score","FSI","PPW","pearson",-0.0465812352507867,8.1825209302591e-05,0.0090457287878087,-0.0643105378888089,-0.0288519326127645,"30-49"
"maxPD","Pd>=4","DS_score","DS","PPW","pearson",0.0530802039295908,8.93296991405812e-05,0.00945143899840555,0.0345557238906386,0.071604683968543,"30-49"
"maxPD","Pd>=4","FS_score","FS","PPW","pearson",0.0717781591291047,6.23686029269975e-05,0.00789737949746607,0.0562995797418261,0.0872567385163832,"30-49"
"maxPD","Pd>=4","DSI_score","DSI","PPW","pearson",0.00341108237482323,0.000116268637000407,0.010782793561986,-0.0177228046593997,0.0245449694090461,"30-49"
"maxPD","Pd>=4","FSI_score","FSI","PPW","pearson",-0.012151146804291,7.32784219765997e-05,0.008560281652878,-0.0289289905414509,0.0046266969328689,"30-49"
"maxPD","Pd>=5","DS_score","DS","PPW","pearson",0.0628831588094048,0.00011097461419585,0.0105344489270132,0.0422360183154822,0.0835302993033273,"30-49"
