"K","perio_group","threshold","no_weight","CW","PPW","OPW","MOPW"
"FS","CAL",3,"0.086 (0.007)","0.080 (0.008)","0.080 (0.005)","0.054 (0.007)","0.046 (0.007)"
"FS","CAL",4,"0.086 (0.007)","0.080 (0.008)","0.059 (0.006)","0.049 (0.007)","0.044 (0.007)"
"FS","CAL",5,"0.086 (0.007)","0.080 (0.008)","0.040 (0.008)","0.040 (0.008)","0.039 (0.008)"
"FS","PD",4,"0.108 (0.007)","0.104 (0.007)","0.090 (0.007)","0.087 (0.008)","0.079 (0.008)"
"FS","PD",5,"0.108 (0.007)","0.104 (0.007)","0.084 (0.009)","0.088 (0.009)","0.085 (0.009)"
"FS","PD",6,"0.108 (0.007)","0.104 (0.007)","0.106 (0.010)","0.107 (0.010)","0.107 (0.010)"
"FSI","CAL",3,"0.029 (0.006)","0.027 (0.006)","0.020 (0.007)","-0.002 (0.009)","-0.005 (0.009)"
"FSI","CAL",4,"0.029 (0.006)","0.027 (0.006)","-0.031 (0.008)","-0.026 (0.008)","-0.030 (0.008)"
"FSI","CAL",5,"0.029 (0.006)","0.027 (0.006)","-0.063 (0.009)","-0.038 (0.009)","-0.040 (0.009)"
"FSI","PD",4,"0.037 (0.006)","0.038 (0.006)","-0.035 (0.008)","-0.020 (0.008)","-0.027 (0.008)"
"FSI","PD",5,"0.037 (0.006)","0.038 (0.006)","-0.037 (0.010)","-0.013 (0.009)","-0.015 (0.009)"
"FSI","PD",6,"0.037 (0.006)","0.038 (0.006)","-0.006 (0.010)","0.011 (0.009)","0.010 (0.009)"
"DS","CAL",3,"0.135 (0.009)","0.140 (0.010)","0.125 (0.010)","0.141 (0.011)","0.142 (0.011)"
"DS","CAL",4,"0.135 (0.009)","0.140 (0.010)","0.078 (0.010)","0.112 (0.010)","0.108 (0.010)"
"DS","CAL",5,"0.135 (0.009)","0.140 (0.010)","0.075 (0.011)","0.114 (0.010)","0.106 (0.010)"
"DS","PD",4,"0.130 (0.008)","0.134 (0.009)","0.076 (0.010)","0.106 (0.010)","0.098 (0.009)"
"DS","PD",5,"0.130 (0.008)","0.134 (0.009)","0.089 (0.011)","0.123 (0.010)","0.114 (0.010)"
"DS","PD",6,"0.130 (0.008)","0.134 (0.009)","0.108 (0.012)","0.141 (0.011)","0.138 (0.011)"
"DSI","CAL",3,"0.084 (0.009)","0.092 (0.011)","0.082 (0.012)","0.095 (0.012)","0.100 (0.013)"
"DSI","CAL",4,"0.084 (0.009)","0.092 (0.011)","0.030 (0.012)","0.062 (0.011)","0.060 (0.011)"
"DSI","CAL",5,"0.084 (0.009)","0.092 (0.011)","0.019 (0.012)","0.058 (0.011)","0.052 (0.011)"
"DSI","PD",4,"0.069 (0.008)","0.075 (0.009)","0.005 (0.011)","0.037 (0.010)","0.031 (0.010)"
"DSI","PD",5,"0.069 (0.008)","0.075 (0.009)","0.004 (0.011)","0.044 (0.009)","0.039 (0.009)"
"DSI","PD",6,"0.069 (0.008)","0.075 (0.009)","0.024 (0.012)","0.060 (0.010)","0.058 (0.010)"
