"K","perio_group","threshold","no_weight","CW","PPW","OPW"
"FS","CAL",3,"0.034 (0.008)","0.016 (0.009)","0.041 (0.006)","0.007 (0.008)"
"FS","CAL",4,"0.034 (0.008)","0.016 (0.009)","0.043 (0.007)","0.021 (0.008)"
"FS","CAL",5,"0.034 (0.008)","0.016 (0.009)","0.035 (0.008)","0.022 (0.009)"
"FS","PD",4,"0.083 (0.009)","0.071 (0.009)","0.085 (0.009)","0.079 (0.009)"
"FS","PD",5,"0.083 (0.009)","0.071 (0.009)","0.069 (0.011)","0.069 (0.010)"
"FS","PD",6,"0.083 (0.009)","0.071 (0.009)","0.068 (0.012)","0.068 (0.011)"
"FSI","CAL",3,"0.016 (0.008)","0.002 (0.009)","0.032 (0.007)","-0.009 (0.010)"
"FSI","CAL",4,"0.016 (0.008)","0.002 (0.009)","0.006 (0.007)","-0.026 (0.009)"
"FSI","CAL",5,"0.016 (0.008)","0.002 (0.009)","-0.022 (0.008)","-0.039 (0.009)"
"FSI","PD",4,"0.056 (0.008)","0.046 (0.009)","0.026 (0.009)","0.015 (0.009)"
"FSI","PD",5,"0.056 (0.008)","0.046 (0.009)","0.009 (0.011)","0.008 (0.010)"
"FSI","PD",6,"0.056 (0.008)","0.046 (0.009)","0.016 (0.012)","0.018 (0.011)"
"DS","CAL",3,"0.112 (0.010)","0.115 (0.012)","0.133 (0.013)","0.143 (0.014)"
"DS","CAL",4,"0.112 (0.010)","0.115 (0.012)","0.078 (0.013)","0.102 (0.013)"
"DS","CAL",5,"0.112 (0.010)","0.115 (0.012)","0.053 (0.013)","0.086 (0.012)"
"DS","PD",4,"0.104 (0.009)","0.104 (0.010)","0.035 (0.012)","0.069 (0.011)"
"DS","PD",5,"0.104 (0.009)","0.104 (0.010)","0.030 (0.013)","0.072 (0.011)"
"DS","PD",6,"0.104 (0.009)","0.104 (0.010)","0.045 (0.014)","0.089 (0.012)"
"DSI","CAL",3,"0.099 (0.011)","0.105 (0.012)","0.148 (0.014)","0.150 (0.015)"
"DSI","CAL",4,"0.099 (0.011)","0.105 (0.012)","0.084 (0.014)","0.102 (0.015)"
"DSI","CAL",5,"0.099 (0.011)","0.105 (0.012)","0.054 (0.014)","0.084 (0.013)"
"DSI","PD",4,"0.079 (0.010)","0.082 (0.011)","0.020 (0.013)","0.052 (0.012)"
"DSI","PD",5,"0.079 (0.010)","0.082 (0.011)","0.013 (0.014)","0.054 (0.012)"
"DSI","PD",6,"0.079 (0.010)","0.082 (0.011)","0.037 (0.016)","0.076 (0.013)"
