"K","perio_group","threshold","no_weight","CW","PPW","OPW"
"FS","CAL",3,"0.047 (0.011)","0.019 (0.012)","0.037 (0.007)","0.007 (0.010)"
"FS","CAL",4,"0.047 (0.011)","0.019 (0.012)","0.064 (0.008)","0.046 (0.010)"
"FS","CAL",5,"0.047 (0.011)","0.019 (0.012)","0.063 (0.010)","0.054 (0.012)"
"FS","PD",4,"0.142 (0.012)","0.122 (0.012)","0.160 (0.012)","0.156 (0.013)"
"FS","PD",5,"0.142 (0.012)","0.122 (0.012)","0.149 (0.015)","0.145 (0.014)"
"FS","PD",6,"0.142 (0.012)","0.122 (0.012)","0.148 (0.016)","0.140 (0.015)"
"FSI","CAL",3,"0.035 (0.011)","0.008 (0.011)","0.042 (0.007)","0.006 (0.010)"
"FSI","CAL",4,"0.035 (0.011)","0.008 (0.011)","0.045 (0.008)","0.021 (0.010)"
"FSI","CAL",5,"0.035 (0.011)","0.008 (0.011)","0.032 (0.010)","0.017 (0.012)"
"FSI","PD",4,"0.122 (0.011)","0.104 (0.012)","0.114 (0.012)","0.104 (0.012)"
"FSI","PD",5,"0.122 (0.011)","0.104 (0.012)","0.110 (0.014)","0.104 (0.014)"
"FSI","PD",6,"0.122 (0.011)","0.104 (0.012)","0.109 (0.016)","0.102 (0.015)"
"DS","CAL",3,"0.108 (0.015)","0.125 (0.021)","0.114 (0.017)","0.128 (0.020)"
"DS","CAL",4,"0.108 (0.015)","0.125 (0.021)","0.044 (0.016)","0.070 (0.018)"
"DS","CAL",5,"0.108 (0.015)","0.125 (0.021)","0.017 (0.016)","0.051 (0.017)"
"DS","PD",4,"0.087 (0.012)","0.093 (0.013)","-0.004 (0.016)","0.021 (0.014)"
"DS","PD",5,"0.087 (0.012)","0.093 (0.013)","0.011 (0.017)","0.041 (0.014)"
"DS","PD",6,"0.087 (0.012)","0.093 (0.013)","0.021 (0.019)","0.054 (0.015)"
"DSI","CAL",3,"0.101 (0.014)","0.120 (0.020)","0.139 (0.019)","0.147 (0.019)"
"DSI","CAL",4,"0.101 (0.014)","0.120 (0.020)","0.061 (0.018)","0.078 (0.017)"
"DSI","CAL",5,"0.101 (0.014)","0.120 (0.020)","0.033 (0.018)","0.058 (0.016)"
"DSI","PD",4,"0.074 (0.011)","0.082 (0.012)","-0.000 (0.016)","0.022 (0.014)"
"DSI","PD",5,"0.074 (0.011)","0.082 (0.012)","0.012 (0.018)","0.040 (0.014)"
"DSI","PD",6,"0.074 (0.011)","0.082 (0.012)","0.024 (0.019)","0.053 (0.015)"
