"Y","L","X","K","weight_type","association_type","estimate","variance","se","lower_95","upper_95"
"maxCAL","Cal>=3","DS","DS","no_weight","pearson",0.125084901316303,3.57539723899768e-05,0.00597946255026125,0.113365370070885,0.136804432561721
"maxCAL","Cal>=3","FS","FS","no_weight","pearson",0.0898151918640327,2.71422126531555e-05,0.00520981886951509,0.0796041345138059,0.100026249214259
"maxCAL","Cal>=3","DSI","DSI","no_weight","pearson",0.0944591053170394,3.91004634743482e-05,0.00625303634039882,0.0822033792958376,0.106714831338241
"maxCAL","Cal>=3","FSI","FSI","no_weight","pearson",0.0521658515331254,2.38433923458737e-05,0.00488296962368943,0.0425954069330911,0.0617362961331598
"maxCAL","Cal>=4","DS","DS","no_weight","pearson",0.125084901316303,3.57539723899768e-05,0.00597946255026125,0.113365370070885,0.136804432561721
"maxCAL","Cal>=4","FS","FS","no_weight","pearson",0.0898151918640327,2.71422126531555e-05,0.00520981886951509,0.0796041345138059,0.100026249214259
"maxCAL","Cal>=4","DSI","DSI","no_weight","pearson",0.0944591053170394,3.91004634743482e-05,0.00625303634039882,0.0822033792958376,0.106714831338241
"maxCAL","Cal>=4","FSI","FSI","no_weight","pearson",0.0521658515331254,2.38433923458737e-05,0.00488296962368943,0.0425954069330911,0.0617362961331598
"maxCAL","Cal>=5","DS","DS","no_weight","pearson",0.125084901316303,3.57539723899768e-05,0.00597946255026125,0.113365370070885,0.136804432561721
"maxCAL","Cal>=5","FS","FS","no_weight","pearson",0.0898151918640327,2.71422126531555e-05,0.00520981886951509,0.0796041345138059,0.100026249214259
"maxCAL","Cal>=5","DSI","DSI","no_weight","pearson",0.0944591053170394,3.91004634743482e-05,0.00625303634039882,0.0822033792958376,0.106714831338241
"maxCAL","Cal>=5","FSI","FSI","no_weight","pearson",0.0521658515331254,2.38433923458737e-05,0.00488296962368943,0.0425954069330911,0.0617362961331598
"maxPD","Pd>=4","DS","DS","no_weight","pearson",0.124052040366675,2.85127911910297e-05,0.00533973699642873,0.113586348166758,0.134517732566591
"maxPD","Pd>=4","FS","FS","no_weight","pearson",0.110649971085062,2.72371571534102e-05,0.00521892298787884,0.100421069990731,0.120878872179393
"maxPD","Pd>=4","DSI","DSI","no_weight","pearson",0.0764353312538329,2.82357585204506e-05,0.00531373301177718,0.0660206059272881,0.0868500565803777
"maxPD","Pd>=4","FSI","FSI","no_weight","pearson",0.0564926980007939,2.2928156964078e-05,0.00478833551080937,0.0471077328537133,0.0658776631478745
"maxPD","Pd>=5","DS","DS","no_weight","pearson",0.124052040366675,2.85127911910297e-05,0.00533973699642873,0.113586348166758,0.134517732566591
"maxPD","Pd>=5","FS","FS","no_weight","pearson",0.110649971085062,2.72371571534102e-05,0.00521892298787884,0.100421069990731,0.120878872179393
"maxPD","Pd>=5","DSI","DSI","no_weight","pearson",0.0764353312538329,2.82357585204506e-05,0.00531373301177718,0.0660206059272881,0.0868500565803777
